title,url
Gradation (그라데이션),https://www.youtube.com/watch?v=fbmStVcCL8s&list=PLtmZj29rItKfvHjuY-ykhEiCC2EbBW2J1&index=1&pp=iAQB
한 페이지가 될 수 있게 Time of Our Life,https://www.youtube.com/watch?v=-9fC6oDFl5k&list=PLtmZj29rItKfvHjuY-ykhEiCC2EbBW2J1&index=2&pp=iAQB
Event Horizon (사건의 지평선),https://www.youtube.com/watch?v=j1uXcHwLhHM&list=PLtmZj29rItKfvHjuY-ykhEiCC2EbBW2J1&index=3&pp=iAQB
예뻤어 You Were Beautiful,https://www.youtube.com/watch?v=Mhyi9p7T7OM&list=PLtmZj29rItKfvHjuY-ykhEiCC2EbBW2J1&index=4&pp=iAQB
Rooftop (옥탑방 (Rooftop)),https://www.youtube.com/watch?v=49cyaEDTd5I&list=PLtmZj29rItKfvHjuY-ykhEiCC2EbBW2J1&index=5&pp=iAQB
To You My Light (feat. LEE RAON),https://www.youtube.com/watch?v=gF-MfOdo7L8&list=PLtmZj29rItKfvHjuY-ykhEiCC2EbBW2J1&index=6&pp=iAQB
SMILEY (Feat. BIBI),https://www.youtube.com/watch?v=2KSWVz2tDEI&list=PLtmZj29rItKfvHjuY-ykhEiCC2EbBW2J1&index=7&pp=iAQB
RE : WIND,https://www.youtube.com/watch?v=ZuttYdmPfzU&list=PLtmZj29rItKfvHjuY-ykhEiCC2EbBW2J1&index=8&pp=iAQB
I hate trot (나는 트로트가 싫어요),https://www.youtube.com/watch?v=V4Tdtu2qfrw&list=PLtmZj29rItKfvHjuY-ykhEiCC2EbBW2J1&index=9&pp=iAQB0gcJCY0JAYcqIYzv
Late Night (늦은 밤 너의 집 앞 골목길에서),https://www.youtube.com/watch?v=r-vcN6-uBmk&list=PLtmZj29rItKfvHjuY-ykhEiCC2EbBW2J1&index=10&pp=iAQB
나의 사춘기에게,https://www.youtube.com/watch?v=0tkgGcnRNTE&list=PLtmZj29rItKfvHjuY-ykhEiCC2EbBW2J1&index=11&pp=iAQB
LOVE SCENARIO (사랑을 했다),https://www.youtube.com/watch?v=OmEPFmyKO74&list=PLtmZj29rItKfvHjuY-ykhEiCC2EbBW2J1&index=12&pp=iAQB
YESTERDAY,https://www.youtube.com/watch?v=Fplzpki9Fgw&list=PLtmZj29rItKfvHjuY-ykhEiCC2EbBW2J1&index=13&pp=iAQB
Hype Boy,https://www.youtube.com/watch?v=ghrlZIMDzbM&list=PLtmZj29rItKfvHjuY-ykhEiCC2EbBW2J1&index=14&pp=iAQB
I Don’t Think That I Like Her,https://www.youtube.com/watch?v=R12op-QMC0E&list=PLtmZj29rItKfvHjuY-ykhEiCC2EbBW2J1&index=15&pp=iAQB
TOMBOY,https://www.youtube.com/watch?v=zC8RrOA0spo&list=PLtmZj29rItKfvHjuY-ykhEiCC2EbBW2J1&index=16&pp=iAQB
Oort Cloud (오르트구름),https://www.youtube.com/watch?v=58IEh6YkuzQ&list=PLtmZj29rItKfvHjuY-ykhEiCC2EbBW2J1&index=17&pp=iAQB
Johnny (Feat. Dynamicduo),https://www.youtube.com/watch?v=VX7w5fwdMkI&list=PLtmZj29rItKfvHjuY-ykhEiCC2EbBW2J1&index=18&pp=iAQB
eight (Prod. & Feat. SUGA of BTS) (에잇(Prod. & Feat. SUGA of BTS)),https://www.youtube.com/watch?v=5_IYVichXbA&list=PLtmZj29rItKfvHjuY-ykhEiCC2EbBW2J1&index=19&pp=iAQB
싸운날,https://www.youtube.com/watch?v=BqbU8b29T9w&list=PLtmZj29rItKfvHjuY-ykhEiCC2EbBW2J1&index=20&pp=iAQB
Beautiful Moment (내 생에 아름다운),https://www.youtube.com/watch?v=N4RAUQAQC5k&list=PLtmZj29rItKfvHjuY-ykhEiCC2EbBW2J1&index=21&pp=iAQB
Ditto,https://www.youtube.com/watch?v=-g9I2neQR7w&list=PLtmZj29rItKfvHjuY-ykhEiCC2EbBW2J1&index=22&pp=iAQB
Nxde,https://www.youtube.com/watch?v=RdU3F5vN3_s&list=PLtmZj29rItKfvHjuY-ykhEiCC2EbBW2J1&index=23&pp=iAQB
LOVE DIVE (LOVE DIVE),https://www.youtube.com/watch?v=hh5GKVa8VtM&list=PLtmZj29rItKfvHjuY-ykhEiCC2EbBW2J1&index=24&pp=iAQB0gcJCY0JAYcqIYzv
Love story,https://www.youtube.com/watch?v=WelKAFjKnDE&list=PLtmZj29rItKfvHjuY-ykhEiCC2EbBW2J1&index=25&pp=iAQB
Love Love Love (Feat. 융진 of Casker),https://www.youtube.com/watch?v=JwC6KUpBAAU&list=PLtmZj29rItKfvHjuY-ykhEiCC2EbBW2J1&index=26&pp=iAQB
FEARLESS,https://www.youtube.com/watch?v=Wk3Vxt3knnI&list=PLtmZj29rItKfvHjuY-ykhEiCC2EbBW2J1&index=27&pp=iAQB
안녕 Hello,https://www.youtube.com/watch?v=ZzbNM2l-AAA&list=PLtmZj29rItKfvHjuY-ykhEiCC2EbBW2J1&index=28&pp=iAQB
ASAP (ASAP),https://www.youtube.com/watch?v=aHR8zak8Xsc&list=PLtmZj29rItKfvHjuY-ykhEiCC2EbBW2J1&index=29&pp=iAQB0gcJCY0JAYcqIYzv
POP!,https://www.youtube.com/watch?v=R9TPed_ohKM&list=PLtmZj29rItKfvHjuY-ykhEiCC2EbBW2J1&index=30&pp=iAQB
ELEVEN (ELEVEN),https://www.youtube.com/watch?v=0EK_M2taRIM&list=PLtmZj29rItKfvHjuY-ykhEiCC2EbBW2J1&index=31&pp=iAQB0gcJCY0JAYcqIYzv
